Incident_number,division,Zone,market_area,location_name,facility_type,description_of_location,Date_of_incident,time_of_incident,involved_employee_id,INVOLVED_EMPLOYEE_TITLE,INCIDENT_TYPE,WAS_A_MOTOR_VEHICLE_INVOLVED,DATE_REPORTED,HOW_DID_THE_INJURY_OCCUR,WHAT_WAS_THE_INJURY_OR_ILLNESS,DESCRIPTION_OF_INCIDENT,ROOT_CAUSE,INITIAL_ROOT_CAUSE,WHY_DID_THIS_OCCUR__WHY,WHY_DID_THIS_OCCUR__WHY1
CY25-00129,WESTERN DIVISION,NORTH PACIFIC ZONE,PORTLAND AP,PORTLAND INTL AP (03200-14),ADMIN,Counter area,2/4/2025,9:21 AM,327216,Fleet Coordinator,Third Party or Contractor Incident,No,2/6/2024,Chemical splash during cleaning,No Physical Injury,Cleaning chemical splashed employee's face/hands during routine cleaning in Counter area.,Unpredictable event (personal issue),Employee reported feeling unwell earlier in shift.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00475,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Service lot,5/1/2025,1:14 PM,462918,Transporter - Rideshare,Vehicle Incident (Motor Vehicle Accident),Yes,5/3/2024,Door closed on hand/finger,Laceration of Finger,Pinch point injury at vehicle door while working in Service lot.,Failure to Identify Hazards,Area not inspected prior to shift start.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00999,CANADA,CA ALBERTA ZONE,EDMONTON,EDMONTON INTL AIRPORT (08120-11),AIRPORT,Loading dock,9/9/2025,6:42 AM,291931,Service Agent,Property Damage,No,9/11/2024,Door closed on hand/finger,Laceration of Finger,Pinch point injury at vehicle door while working in Loading dock.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00449,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Maintenance bay,4/24/2025,12:07 PM,996620,Counter Sales Rep,Vehicle Incident (Motor Vehicle Accident),Yes,4/26/2024,Hit by moving vehicle,Slip or Trip but did not fall,Employee in blind spot of reversing vehicle in Maintenance bay.,Failure to Identify Hazards,Design limitations combined with lack of environmental awareness.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00083,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Breakroom,1/23/2025,12:00 PM,609153,Transporter Car,Property Damage,No,1/26/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Wet conditions in Breakroom led to slip incident. Employee followed reporting protocols.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01431,WESTERN DIVISION,NORTH PACIFIC ZONE,LOS ANGELES AP (LAX),LOS ANGELES INTL AP (01101-15),AIRPORT,Customer pickup zone,12/24/2025,7:21 AM,912403,Counter Sales Rep,Vehicle Incident (Motor Vehicle Accident),Yes,12/26/2024,Caught between equipment,Laceration of Finger,Pinch point injury in Customer pickup zone during equipment staging.,Training Deficiency,Insufficient onboarding for new equipment type.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00991,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Maintenance bay,9/7/2025,8:35 PM,504872,Transporter - Rideshare,Third Party or Contractor Incident,No,9/8/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Repetitive scanning and data entry in Maintenance bay caused wrist/shoulder strain.,Standard Work Procedures Insufficient or Non-existent,Employee unaware a procedure existed for this task.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01785,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Employee entrance,3/18/2026,7:14 AM,756627,Counter Sales Rep,Customer Incident,No,3/18/2025,Chemical splash during cleaning,No Physical Injury,Cleaning chemical splashed employee's face/hands during routine cleaning in Employee entrance.,Unpredictable event (personal issue),Medical event occurred without prior warning.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01456,EASTERN DIVISION,NORTHEAST ZONE,BOSTON LOGAN AP,BOSTON LOGAN INTL (01700-11),MAINTENANCE,Maintenance bay,12/30/2025,3:35 PM,549068,Transporter Car,Customer Incident,No,1/1/2025,Vehicle collision at intersection,Contusion/Bruise of Hand,Collision in Maintenance bay during normal vehicle movement operations. No serious injuries sustained.,Standard Work Procedures Insufficient or Non-existent,No documented SWP for this task found during investigation.,"Why was vehicle collision at intersection not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01451,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Maintenance bay,12/28/2025,7:56 PM,620776,VSA,Property Damage,No,12/29/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Repetitive scanning and data entry in Maintenance bay caused wrist/shoulder strain.,Unpredictable event (motor vehicle accident another driver at fault),Other vehicle failed to yield right of way.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01160,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Fuel island,10/17/2025,10:42 AM,265985,Fleet Coordinator,Vehicle Incident (Motor Vehicle Accident),Yes,10/18/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Wet conditions in Fuel island led to slip incident. Employee followed reporting protocols.,Failure to Identify Hazards,No formal hazard identification process in place for this location.,"Why was employee slipped on wet floor while walking not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00367,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Fuel island,4/4/2025,9:28 AM,176851,VSA,Employee Incident,No,4/6/2024,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Employee fell from vehicle step during boarding in Fuel island.,Customer/3rd Party/Vendor related incident,Customer became aggressive during return dispute.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01881,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Fuel island,4/7/2026,7:42 PM,138100,Lot Attendant,Vehicle Incident (Motor Vehicle Accident),Yes,4/7/2025,Slip on fuel spill,Contusion/Bruise of Hand,Undetected fuel spill in Fuel island led to slip and fall incident.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00914,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Service lot,8/20/2025,12:07 PM,936648,Mgr Customer Ops,Third Party or Contractor Incident,No,8/22/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,Employee sustained back strain while lifting equipment in Service lot.,Process not error-proof,Warning signage absent or not visible from task position.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01940,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Shuttle staging area,4/20/2026,7:35 PM,829235,Fleet Coordinator,Vehicle Incident (Motor Vehicle Accident),Yes,4/22/2025,Door closed on hand/finger,Laceration of Finger,Temporary equipment staging in Shuttle staging area blocked emergency egress and reduced safe working width.,Poor Ergonomics,No formal temporary-worker integration protocol exists at this location.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01614,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Counter area,2/8/2026,2:21 PM,220888,Mgr Customer Ops,Property Damage,No,2/10/2025,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Wet step caused employee to slip and fall in Counter area.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver distracted at time of collision.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00340,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Employee entrance,3/28/2025,3:14 PM,344501,Transporter Car,Third Party or Contractor Incident,No,3/30/2024,Hit by moving vehicle,Slip or Trip but did not fall,Near-miss escalated when vehicle contacted employee in Employee entrance.,Poor Ergonomics,Workstation layout requires repeated awkward posture.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01258,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Return area,11/11/2025,8:42 PM,385514,Transporter - Rideshare,Employee Incident,No,11/11/2024,Door closed on hand/finger,Laceration of Finger,Employee's hand/finger caught in vehicle door during Return area operations.,Training Deficiency,Insufficient onboarding for new equipment type.,"Why was door closed on hand/finger not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00490,WESTERN DIVISION,SOUTH PACIFIC ZONE,SILICON VALLEY,UBER SOUTH SAN FRANCISCO (04505-22),TNC,Fuel island,5/5/2025,6:56 PM,586819,Lot Attendant,Third Party or Contractor Incident,No,5/6/2024,Tripped over equipment,Other of Multiple Body Parts,Tripping hazard from unsecured equipment in Fuel island caused fall.,Failure to Identify Hazards,Area not inspected prior to shift start.,"Why was tripped over equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01358,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Breakroom,12/5/2025,7:49 PM,424544,Mechanic B,Customer Incident,No,12/6/2024,Caught between equipment,Laceration of Finger,Employee sustained finger injury while positioning equipment in Breakroom.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00022,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Shuttle staging area,1/6/2025,6:00 AM,526462,Customer Experience Associate,Vehicle Incident (Motor Vehicle Accident),Yes,1/7/2024,Struck head on low-hanging object,Burn of Hand,Unmarked low-hanging structure in Shuttle staging area caused head contact.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver ran red light at intersection.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01029,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Employee entrance,9/16/2025,5:28 PM,692493,Counter Sales Rep,Customer Incident,No,9/16/2024,Slip on fuel spill,Contusion/Bruise of Hand,Fuel leak at Employee entrance created slip hazard; employee slipped before area could be cleared.,Customer/3rd Party/Vendor related incident,Contractor working on-site did not follow Hertz safety protocols.,"Why was slip on fuel spill not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00746,WESTERN DIVISION,SOUTH PACIFIC ZONE,LAS VEGAS AP,LAS VEGAS MCCARRAN (02050-11),HCS,Fuel island,7/6/2025,9:42 AM,333559,Lot Attendant,Vehicle Incident (Motor Vehicle Accident),Yes,7/7/2024,Chemical splash during cleaning,No Physical Injury,Improper PPE use during chemical cleaning in Fuel island led to splash exposure.,Training Deficiency,Employee had not completed updated safety training module.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00813,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Loading dock,7/23/2025,4:07 PM,269357,Mechanic A,Employee Incident,No,7/24/2024,Slip on fuel spill,Contusion/Bruise of Hand,Undetected fuel spill in Loading dock led to slip and fall incident.,Customer/3rd Party/Vendor related incident,Customer became aggressive during return dispute.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00186,WESTERN DIVISION,SOUTHWEST ZONE,PHOENIX AP,PHOENIX SKY HARBOR (01950-17),AIRPORT,Return area,2/18/2025,7:35 AM,743911,Transporter - Rideshare,Third Party or Contractor Incident,No,2/21/2024,Struck head on low-hanging object,Burn of Hand,Employee did not notice overhead obstruction while working in Return area.,Poor Ergonomics,Inadequate preventive maintenance created ergonomic hazard.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01046,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Vehicle wash area,9/20/2025,6:42 PM,360061,Mgr Customer Ops,Property Damage,No,9/21/2024,Caught between equipment,Laceration of Finger,Employee sustained finger injury while positioning equipment in Vehicle wash area.,Unpredictable event (personal issue),Employee reported feeling unwell earlier in shift.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01027,EASTERN DIVISION,NORTHEAST ZONE,CHICAGO AP,O'HARE INTL AP (01850-22),AIRPORT,Breakroom,9/16/2025,2:07 PM,514734,Counter Sales Rep,Customer Incident,No,9/17/2024,Tripped over equipment,Other of Multiple Body Parts,Employee stumbled over hose/equipment in Breakroom during regular duties.,Poor Ergonomics,Tools not appropriate size/weight for frequent repetitive use.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00952,EASTERN DIVISION,NORTHEAST ZONE,CHICAGO AP,O'HARE INTL AP (01850-22),AIRPORT,Service lot,8/29/2025,7:28 PM,337413,Lot Attendant,Property Damage,No,8/31/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,"Employee lifted oversized item without assistance in Service lot, causing strain injury.",Poor Ergonomics,Tools not appropriate size/weight for frequent repetitive use.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00275,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Fuel island,3/12/2025,3:56 PM,540536,Mechanic B,Third Party or Contractor Incident,No,3/14/2024,Tripped over equipment,Other of Multiple Body Parts,Employee tripped over equipment left in walkway in Fuel island.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01480,WESTERN DIVISION,SOUTH PACIFIC ZONE,SILICON VALLEY,UBER SOUTH SAN FRANCISCO (04505-22),TNC,Fuel island,1/6/2026,8:00 AM,897178,Lot Attendant,Third Party or Contractor Incident,No,1/6/2025,Slip on fuel spill,Contusion/Bruise of Hand,Fuel leak at Fuel island created slip hazard; employee slipped before area could be cleared.,Standard Work Procedures Insufficient or Non-existent,No documented SWP for this task found during investigation.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01208,WESTERN DIVISION,NORTH PACIFIC ZONE,LOS ANGELES AP (LAX),LOS ANGELES INTL AP (01101-15),AIRPORT,Employee entrance,10/29/2025,8:35 PM,415997,Instant Return Rep,Vehicle Incident (Motor Vehicle Accident),Yes,10/31/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Standing water in Employee entrance not marked with wet floor signage. Employee slipped while on regular duties.,Process not error-proof,No physical guard or barrier to prevent access to pinch point.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00458,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Breakroom,4/27/2025,9:14 AM,139103,Counter Sales Rep,Vehicle Incident (Motor Vehicle Accident),Yes,4/29/2024,Tripped over equipment,Other of Multiple Body Parts,Employee stumbled over hose/equipment in Breakroom during regular duties.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver distracted at time of collision.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00804,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Parking garage,7/20/2025,9:21 AM,694095,VSA,Employee Incident,No,7/20/2024,Tripped over equipment,Other of Multiple Body Parts,Tripping hazard from unsecured equipment in Parking garage caused fall.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver distracted at time of collision.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00750,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Customer pickup zone,7/7/2025,11:49 AM,449509,Safety Supervisor,Employee Incident,No,7/7/2024,Door closed on hand/finger,Laceration of Finger,Pinch point injury at vehicle door while working in Customer pickup zone.,Unpredictable event (personal issue),Employee had undisclosed pre-existing condition that contributed.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00305,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Return area,3/20/2025,3:49 PM,102429,Safety Supervisor,Customer Incident,No,3/21/2024,Caught between equipment,Laceration of Finger,Employee sustained finger injury while positioning equipment in Return area.,Unpredictable event (motor vehicle accident another driver at fault),Other vehicle failed to yield right of way.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01340,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Maintenance bay,12/1/2025,2:21 PM,371974,Customer Experience Associate,Employee Incident,No,12/3/2024,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Employee fell from vehicle step during boarding in Maintenance bay.,Poor Ergonomics,Workstation layout requires repeated awkward posture.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00967,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Employee entrance,9/1/2025,4:00 PM,314647,Counter Sales Rep,Third Party or Contractor Incident,No,9/3/2024,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Employee entrance.,Training Deficiency,Employee had not completed updated safety training module.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01106,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Vehicle wash area,10/3/2025,2:49 PM,406975,Transporter - Rideshare,Vehicle Incident (Motor Vehicle Accident),Yes,10/4/2024,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Vehicle wash area.,Process not error-proof,No physical guard or barrier to prevent access to pinch point.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01114,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Maintenance bay,10/5/2025,7:42 PM,628938,Mechanic B,Third Party or Contractor Incident,No,10/5/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,"Employee lifted oversized item without assistance in Maintenance bay, causing strain injury.",Training Deficiency,Employee had not completed updated safety training module.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00534,WESTERN DIVISION,NORTH PACIFIC ZONE,LOS ANGELES AP (LAX),LOS ANGELES INTL AP (01101-15),AIRPORT,Service lot,5/15/2025,1:42 PM,889853,Shuttle Driver,Third Party or Contractor Incident,No,5/17/2024,Caught between equipment,Laceration of Finger,Employee's hand caught between two pieces of equipment in Service lot.,Failure to Identify Hazards,Hazard present for extended period without being flagged.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01428,EASTERN DIVISION,NORTHEAST ZONE,BOSTON LOGAN AP,BOSTON LOGAN INTL (01700-11),MAINTENANCE,Employee entrance,12/23/2025,7:28 PM,297471,VSA,Vehicle Incident (Motor Vehicle Accident),Yes,12/25/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Repetitive scanning and data entry in Employee entrance caused wrist/shoulder strain.,Customer/3rd Party/Vendor related incident,Vendor equipment left unsecured in shared workspace.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00076,WESTERN DIVISION,NORTH PACIFIC ZONE,LOS ANGELES AP (LAX),LOS ANGELES INTL AP (01101-15),AIRPORT,Shuttle staging area,1/21/2025,6:14 AM,269855,Mechanic B,Vehicle Incident (Motor Vehicle Accident),Yes,1/22/2024,Hit by moving vehicle,Slip or Trip but did not fall,Employee struck by slow-moving vehicle in Shuttle staging area.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00436,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Maintenance bay,4/21/2025,10:21 AM,310807,Lot Attendant,Customer Incident,No,4/23/2024,Struck head on low-hanging object,Burn of Hand,Unmarked low-hanging structure in Maintenance bay caused head contact.,Unpredictable event (personal issue),Personal distraction reported as contributing factor.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01209,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Maintenance bay,10/29/2025,3:42 PM,701480,Mgr Customer Ops,Vehicle Incident (Motor Vehicle Accident),Yes,10/29/2024,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Employee lost footing on vehicle entry step in Maintenance bay.,Failure to Identify Hazards,No formal hazard identification process in place for this location.,"Why was fall from vehicle step not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00830,EASTERN DIVISION,NORTHEAST ZONE,BOSTON LOGAN AP,BOSTON LOGAN INTL (01700-11),MAINTENANCE,Vehicle wash area,7/28/2025,6:49 PM,562393,Mechanic A,Vehicle Incident (Motor Vehicle Accident),Yes,7/28/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Employee slipped on wet surface in Vehicle wash area. Reported immediately and first aid administered on site.,Failure to Identify Hazards,No formal hazard identification process in place for this location.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
